,Arms Category,Year,Value
840,Aircraft,2020,11412.0
841,Air defence systems,2020,566.0
842,Armoured vehicles,2020,2564.0
843,Artillery,2020,444.0
844,Engines,2020,1678.0
845,Missiles,2020,2971.0
846,Naval weapons,2020,153.0
847,Other,2020,311.0
848,Satellites,2020,50.0
849,Sensors,2020,785.0
850,Ships,2020,3067.0
851,Total,2020,24000.0
852,Aircraft,2021,13480.0
853,Air defence systems,2021,704.0
854,Armoured vehicles,2021,2651.0
855,Artillery,2021,295.0
856,Engines,2021,1646.0
857,Missiles,2021,2806.0
858,Naval weapons,2021,180.0
859,Other,2021,249.0
860,Satellites,2021,10.0
861,Sensors,2021,940.0
862,Ships,2021,3831.0
863,Total,2021,26792.0
864,Aircraft,2022,14851.0
865,Air defence systems,2022,1394.0
866,Armoured vehicles,2022,3299.0
867,Artillery,2022,650.0
868,Engines,2022,1490.0
869,Missiles,2022,4565.0
870,Naval weapons,2022,257.0
871,Other,2022,232.0
872,Satellites,2022,10.0
873,Sensors,2022,1372.0
874,Ships,2022,3863.0
875,Total,2022,31983.0
876,Aircraft,Total,965706.0
877,Air defence systems,Total,125939.0
878,Armoured vehicles,Total,286344.0
879,Artillery,Total,50217.0
880,Engines,Total,61103.0
881,Missiles,Total,190809.0
882,Naval weapons,Total,12769.0
883,Other,Total,7538.0
884,Satellites,Total,520.0
885,Sensors,Total,75360.0
886,Ships,Total,256791.0
887,Total,Total,2033095.0
